#wlen[nm]	a.u.
400.00000	0.00000
410.00000	0.00161
415.00000	0.00326
417.50000	0.00600
420.00000	0.01041
422.50000	0.01885
425.00000	0.03000
426.87567	0.04328
428.75000	0.06211
430.00000	0.07773
431.48175	0.09537
432.02951	0.11139
433.45920	0.13795
435.00000	0.17308
437.50000	0.26109
438.95001	0.33457
440.54318	0.42159
441.95593	0.50807
445.79874	0.81832
447.33780	0.91794
448.33817	0.96361
449.18463	0.98728
450.03113	0.99609
450.80063	0.99003
451.64713	0.97187
452.18579	0.94931
453.34006	0.88051
455.03302	0.77650
455.93207	0.71684
456.45721	0.66051
457.97461	0.57126
458.95758	0.51288
460.65051	0.43253
463.65167	0.33292
467.34537	0.24266
469.65393	0.19038
472.19336	0.14140
473.52289	0.11929
475.19449	0.09902
477.04135	0.08196
479.11905	0.06545
481.88934	0.04949
484.19791	0.03903
487.35294	0.02858
489.73846	0.02252
492.81656	0.01592
495.27902	0.01151
497.66455	0.00931
500.00000	0.00821
