# "505nm" LED, B5-433-B505, unfiltered (measured by C. Wendt)
# wlen[nm]	y[a.u.]
340.00000	0.00000
345.00000	0.00040
350.00000	0.00080
355.00000	0.00100
360.00000	0.00130
365.00000	0.00150
370.00000	0.00190
375.00000	0.00230
380.00000	0.00250
385.00000	0.00270
390.00000	0.00310
395.00000	0.00330
400.00000	0.00350
405.00000	0.00395
410.00000	0.00395
415.00000	0.00395
420.00000	0.00400
425.00000	0.00437
430.00000	0.00532
435.00000	0.00674
440.00000	0.01052
445.00000	0.01762
450.00000	0.03433
455.00000	0.06625
460.00000	0.12752
465.00000	0.23160
470.00000	0.39417
475.00000	0.61130
480.00000	0.82796
485.00000	0.97792
490.00000	1.00000
495.00000	0.88047
500.00000	0.70733
505.00000	0.53088
510.00000	0.37950
515.00000	0.25793
520.00000	0.16521
525.00000	0.10797
530.00000	0.06918
535.00000	0.04695
540.00000	0.03276
545.00000	0.02282
550.00000	0.01667
555.00000	0.01241
560.00000	0.01005
565.00000	0.00816
570.00000	0.00674
575.00000	0.00600
580.00000	0.00532
585.00000	0.00500
590.00000	0.00450
595.00000	0.00400
600.00000	0.00400
