#time[ns]	counts
-1.00000	0.00000
0.00000	0.00118
1.00000	0.02769
2.00000	0.12517
3.00000	0.21484
4.00000	0.32089
5.00000	0.43239
6.00000	0.46437
7.00000	0.50023
8.00000	0.43161
9.00000	0.31621
10.00000	0.22965
11.00000	0.13764
12.00000	0.08774
13.00000	0.07214
14.00000	0.05966
15.00000	0.04797
16.00000	0.04095
17.00000	0.02925
18.00000	0.03081
19.00000	0.02847
20.00000	0.02613
21.00000	0.01834
22.00000	0.01834
23.00000	0.01990
24.00000	0.01288
25.00000	0.01288
26.00000	0.01288
27.00000	0.01600
28.00000	0.01444
29.00000	0.01678
30.00000	0.00742
31.00000	0.00664
32.00000	0.00976
33.00000	0.01132
34.00000	0.00742
35.00000	0.00976
36.00000	0.00430
37.00000	0.00586
38.00000	0.00742
39.00000	0.00430
40.00000	0.00820
41.00000	0.00586
42.00000	0.00352
43.00000	0.00196
44.00000	0.00274
45.00000	0.00430
46.00000	0.00508
47.00000	0.00274
48.00000	0.00352
49.00000	0.00430
50.00000	0.00274
51.00000	0.00274
52.00000	0.00118
53.00000	0.00430
54.00000	0.00352
55.00000	0.00274
56.00000	0.00274
57.00000	0.00352
58.00000	0.00196
59.00000	0.00196
60.00000	0.00274
61.00000	0.00352
62.00000	0.00118
63.00000	0.00118
64.00000	0.00118
65.00000	0.00274
66.00000	0.00196
67.00000	0.00196
68.00000	0.00196
69.00000	0.00196
70.00000	0.00196
71.00000	0.00352
72.00000	0.00196
73.00000	0.00196
74.00000	0.00196
75.00000	0.00274
76.00000	0.00118
77.00000	0.00118
78.00000	0.00118
79.00000	0.00352
81.00000	0.00196
81.00000	0.00196
82.00000	0.00118
83.00000	0.00118
84.00000	0.00118
85.00000	0.00118
86.00000	0.00118
87.00000	0.00118
88.00000	0.00118
