#wlen	acceptance
262.3076782	0.0004128
267.9020996	0.0004615
274.0559387	0.0004615
280.7692261	0.0004615
286.3636475	0.0004615
292.5174866	0.0004615
298.1118774	0.0004384
303.7062988	0.0009231
309.3006897	0.0018462
314.3356628	0.0037041
318.2517395	0.0057546
321.2101440	0.0077293
323.2867126	0.0101670
325.0367126	0.0126923
326.7727356	0.0151303
328.8811035	0.0175538
330.6268005	0.0200769
331.6304016	0.0223846
333.2103577	0.0251414
334.1148987	0.0274615
335.5036621	0.0300450
336.4827881	0.0325385
337.2254944	0.0348462
338.8026428	0.0375830
339.7071228	0.0399231
341.0836487	0.0425755
341.5197754	0.0454615
342.3264465	0.0480560
343.4265747	0.0505385
344.4530029	0.0528462
344.8307800	0.0551538
345.6643372	0.0574615
346.7832031	0.0602308
347.2639160	0.0625385
347.9341125	0.0650911
349.0209961	0.0673846
350.0812683	0.0697952
351.0958862	0.0725597
352.3776245	0.0748752
354.2841797	0.0777692
355.7342529	0.0800769
357.2778320	0.0823846
358.7952271	0.0846516
360.2097778	0.0870000
361.3668518	0.0895162
363.4583740	0.0923783
364.6853027	0.0951995
365.8396606	0.0978239
367.9326172	0.1006894
369.1608276	0.1035096
370.3597412	0.1060559
372.6076660	0.1083728
374.8930664	0.1106571
377.2109985	0.1129422
379.5603638	0.1152234
382.5874023	0.1174615
384.8251648	0.1197692
388.1501160	0.1220769
391.0804443	0.1242961
394.8909912	0.1266923
398.2766113	0.1285385
402.0784912	0.1304862
406.7315063	0.1325939
411.6783447	0.1338462
417.8321533	0.1338803
424.0398560	0.1329231
429.3856506	0.1310769
434.3601074	0.1293299
438.9237671	0.1275256
443.2783203	0.1257022
447.4825134	0.1237030
451.6330566	0.1216536
455.0545044	0.1197836
458.4419556	0.1179231
462.0279846	0.1160769
464.9422607	0.1133834
467.6223755	0.1110000
470.9256592	0.1086923
474.3356628	0.1066678
477.3442383	0.1046478
480.7540588	0.1022308
485.4996338	0.1000245
490.0000000	0.0978528
494.5061646	0.0960017
499.1273193	0.0942056
503.2149658	0.0920819
507.9020996	0.0899247
511.2587585	0.0875519
513.4964600	0.0853605
515.7342529	0.0831884
517.9720459	0.0810000
520.1972656	0.0783733
522.0212402	0.0754615
523.5664062	0.0731539
525.2907104	0.0703846
526.9230957	0.0680769
528.5417480	0.0657692
530.2797241	0.0630000
532.3140259	0.0607869
534.7552490	0.0580671
536.8846436	0.0557502
539.2307739	0.0533077
540.9090576	0.0510000
544.8251953	0.0482308
548.1348877	0.0459231
551.4943848	0.0436513
555.8936157	0.0413077
560.2409668	0.0390000
565.0695801	0.0370565
569.1401367	0.0348585
574.0856323	0.0329240
578.1643677	0.0307283
582.9572754	0.0287826
586.8764648	0.0265468
591.6965332	0.0243772
595.9370117	0.0224319
600.2097778	0.0205480
605.2447510	0.0184615
609.3693237	0.0163846
614.1522217	0.0147692
619.2307739	0.0127275
624.2247925	0.0110769
629.1926270	0.0093541
633.7762451	0.0078833
638.2517700	0.0064353
643.5645752	0.0051732
648.5815430	0.0040953
654.3271484	0.0032164
660.6293945	0.0023077
667.3426514	0.0018462
674.0559692	0.0013846
679.6503906	0.0009231
