#wlen[nm]	a.u.
350.000	3682.242
361.139	4830.060
365.918	6258.899
373.362	8646.176
375.668	10002.178
377.535	11703.755
379.370	13682.551
381.504	17857.912
382.925	21668.896
384.388	26002.795
385.390	30674.537
386.732	39129.906
387.938	50590.914
388.801	59107.492
389.529	68196.508
391.952	1.169e5
392.770	1.378e5
394.457	1.927e5
396.012	2.617e5
397.610	3.421e5
398.310	3.800e5
399.980	4.502e5
400.645	4.731e5
401.266	4.888e5
402.162	4.908e5
402.859	4.888e5
403.608	4.773e5
404.146	4.540e5
404.852	4.330e5
406.505	3.646e5
407.221	3.283e5
409.053	2.562e5
409.759	2.285e5
410.591	2.038e5
411.225	1.846e5
412.199	1.612e5
413.871	1.280e5
415.270	1.063e5
417.065	82842.344
418.969	63117.199
420.598	49815.617
422.227	40018.027
423.841	33789.035
425.204	28394.789
426.867	24133.240
428.582	19597.729
430.139	16423.877
432.558	12332.854
434.494	10176.985
436.476	8196.524
438.693	6727.924
442.428	4769.420
448.380	2984.392
454.566	2059.586
